Status,Bill,Created,Client Name,Quantity,Amount,Balance,Options
Closed,PUR382,07/04/2026,DAV ONE STOP HOSPITAL EQUIPMENTS,5.00,11000,11000,Options Bill Lines Edit Print Void entries
Closed,PUR381,15/04/2026,INTERMEDICA LIMITED,10.00,45002,45002,Options Bill Lines Edit Print Void entries
Closed,PUR379,14/04/2026,SUPERFOAM LIMITED,20.00,80000,80000,Options Bill Lines Edit Print Void entries
Closed,PUR378,17/04/2026,MICROARRAY LIMITED,33.00,543900,543900,Options Bill Lines Edit Print Void entries
Closed,PUR377,17/04/2026,MICROARRAY LIMITED,54.00,12200,12200,Options Bill Lines Edit Print Void entries
Closed,PUR376,01/04/2026,MEDIST SUPPLIES,14.00,119000,119000,Options Bill Lines Edit Print Void entries
Closed,PUR375,18/04/2026,MICROARRAY LIMITED,2.00,13000,13000,Options Bill Lines Edit Print Void entries
Closed,PUR374,17/04/2026,MICROARRAY LIMITED,1.00,1800,1800,Options Bill Lines Edit Print Void entries
Closed,PUR373,21/04/2026,TOUCH WILD TOURS & TRAVEL LIMITED,10.00,10000,10000,Options Bill Lines Edit Print Void entries
Closed,PUR372,22/04/2026,BIOCARE 3 IN ONE AGENCIES,65.00,7250,7250,Options Bill Lines Edit Print Void entries
Closed,PUR371,25/04/2026,ALPHA SURGICALS SUPPLIES LIMITED,5000.00,35000,35000,Options Bill Lines Edit Print Void entries
Closed,PUR370,21/04/2026,SURESTEP UNIQUE VENTURES,10.00,9000,9000,Options Bill Lines Edit Print Void entries
Closed,PUR369,17/04/2026,BIOCARE 3 IN ONE AGENCIES,4.00,13200,13200,Options Bill Lines Edit Print Void entries
Closed,PUR368,13/04/2026,DAV ONE STOP HOSPITAL EQUIPMENTS,5.00,11000,11000,Options Bill Lines Edit Print Void entries
Closed,PUR367,02/04/2026,LIFETEK AGENCIES -ONYANGO,10.00,9000,9000,Options Bill Lines Edit Print Void entries
Closed,PUR366,10/04/2026,ALLIED MEDICAL SUPPLIES LIMITED,10.00,9000,9000,Options Bill Lines Edit Print Void entries
Closed,PUR365,10/04/2026,BIOCARE 3 IN ONE AGENCIES,206.00,8700,8700,Options Bill Lines Edit Print Void entries
Closed,PUR364,15/04/2026,BIOCARE 3 IN ONE AGENCIES,50.00,1150,1150,Options Bill Lines Edit Print Void entries
Closed,PUR361,01/10/2025,SHADON MEDICAL DIAGNOSTIC LABORATORIES,1.00,312420,312420,Options Bill Lines Edit Print Void entries
Closed,PUR359,10/04/2026,MICROARRAY LIMITED,1.00,15000,15000,Options Bill Lines Edit Print Void entries
Closed,PUR357,08/03/2026,MICROARRAY LIMITED,12.00,11057,11057,Options Bill Lines Edit Print Void entries
Closed,PUR355,30/03/2026,TOTAL PROPERTIES LTD,1.00,25000,25000,Options Bill Lines Edit Print Void entries
Closed,PUR353,27/03/2026,MICROARRAY LIMITED,14.00,5900,5900,Options Bill Lines Edit Print Void entries
Closed,PUR352,17/02/2026,MEDIPAL MEDICAL SUPPLIES LTD,100.00,70000,70000,Options Bill Lines Edit Print Void entries
Closed,PUR351,01/04/2026,DAV ONE STOP HOSPITAL EQUIPMENTS,50.00,22500,22500,Options Bill Lines Edit Print Void entries
Closed,PUR345,01/04/2026,BIOCARE 3 IN ONE AGENCIES,2.00,15500,15500,Options Bill Lines Edit Print Void entries
Closed,PUR343,26/03/2026,SPENOMATIC LABS &CHEMICALS LTD,5.00,7300,7300,Options Bill Lines Edit Print Void entries
Closed,PUR337,20/02/2026,CROWN HEALTHCARE,20.00,11600,11600,Options Bill Lines Edit Print Void entries
Closed,PUR333,24/03/2026,MICROARRAY LIMITED,12.00,3500,3500,Options Bill Lines Edit Print Void entries
Closed,PUR330,23/03/2026,ALPHA SURGICALS SUPPLIES LIMITED,5000.00,35000,35000,Options Bill Lines Edit Print Void entries
Closed,PUR329,23/03/2026,MICROARRAY LIMITED,37.00,22500,22500,Options Bill Lines Edit Print Void entries
Closed,PUR326,25/03/2026,MICROARRAY LIMITED,11.00,36500,36500,Options Bill Lines Edit Print Void entries
Closed,PUR325,25/03/2026,BIOCARE 3 IN ONE AGENCIES,3.00,4200,4200,Options Bill Lines Edit Print Void entries
Closed,PUR324,25/03/2026,MICROARRAY LIMITED,1510.00,12996,12996,Options Bill Lines Edit Print Void entries
Closed,PUR323,25/03/2026,BIBO PHARMACEUTICALS LTD,5.00,20948,20948,Options Bill Lines Edit Print Void entries
