Status,Invoice,Created,Sales Person,Client Name,Invoice Amount,Paid Amount,Balance
Closed,INV01018,02/05/2026,PEMASON MEDICAL CENTER-,"58,000.00","81,000.00","-23,000.00",
Closed,INV01017,30/04/2026,QUICKPHARM LABORATORY-,"4,500.00","4,500.00",0.00,
Closed,INV01015,30/04/2026,VIJIWENI MEDICAL CENTER-,900.00,"1,220.00",-320.00,
Closed,INV01014,30/04/2026,KOMBANI MEDIVAN MEDICAL CENTER-,"7,020.00","7,020.00",0.00,
Closed,INV01003,29/04/2026,JOSEPH MUKASA HEALTH CENTRE-,"4,000.00","4,000.00",0.00,
Closed,INV00995,16/04/2026,BAYAAN NURSING HOME-,"15,000.00","15,000.00",0.00,
Closed,INV00993,27/04/2026,VITAL MEDIQUIP LTD -,"15,000.00","15,000.00",0.00,
Closed,INV00987,24/04/2026,ST LAZARUS BUYANGU MISSION HEALTH CENTRE-,"8,000.00","8,000.00",0.00,
Closed,INV00985,24/04/2026,RANAC HEALTHCARE-,"7,500.00","7,500.00",0.00,
Closed,INV00983,24/04/2026,VITAL MEDIQUIP LTD -,"60,000.00","60,000.00",0.00,
Closed,INV00982,24/04/2026,KACHELIBA MISSION HEALTH CENTRE-,"64,800.00","64,800.00",0.00,
Closed,INV00981,24/04/2026,SHIMO LA TEWA BORSTAL-,"180,000.00","180,000.00",0.00,
Closed,INV00977,24/04/2026,KACHELIBA MISSION HEALTH CENTRE-,"20,700.00","20,700.00",0.00,
Closed,INV00975,23/04/2026,TRIDIUM PHARMACY-,"32,000.00","32,000.00",0.00,
Closed,INV00972,23/04/2026,PLATEAU MISSION HOSPITAL-,"26,220.00","26,220.00",0.00,
Closed,INV00968,22/04/2026,ROYALSTAR FAMILY HOSPITAL-,"51,550.00","51,550.00",0.00,
Closed,INV00967,22/04/2026,RONYA HOSPITAL KEUMBU-,"17,300.00","17,500.00",-200.00,
Closed,INV00966,22/04/2026,VITAL MEDIQUIP LTD -,"15,000.00","15,000.00",0.00,
Closed,INV00964,22/04/2026,KEVITY KENYA LIMITED -,"500,000.00","760,000.00","-260,000.00",
Closed,INV00960,21/04/2026,DANYA HEALTHCARE SERVICES LTD-,"32,000.00","32,000.00",0.00,
Closed,INV00959,21/04/2026,ACELA MEDICAL CENTER-,"10,500.00","10,500.00",0.00,
Closed,INV00958,21/04/2026,JOSEPH MUKASA HEALTH CENTRE-,"4,200.00","4,400.00",-200.00,
Closed,INV00956,21/04/2026,LIBERTY MEDICAL CENTRE-,"4,350.00","4,350.00",0.00,
