Quote,Created,﻿ ﻿ sales person,Client Name,Status,Total Amount,Options
QT505,05/05/2026,,MAKUENI DOCTORS PLAZA LTD,Draft,"13,500.00",Options quote Lines Edit View Quote Print
QT504,04/05/2026,,REHEMA HOSPICE AND CLINIC LTD,Draft,"2,700,000.00",Options quote Lines Edit View Quote Print
QT503,04/05/2026,,JORDAN HOSPITAL LTD,Draft,"175,000.00",Options quote Lines Edit View Quote Print
QT499,30/04/2026,,ORTUM MISSION HOSPITAL,Draft,"58,000.00",Options quote Lines Edit View Quote Print
QT498,30/04/2026,,MWANGULU DISPENSARY,Draft,"40,650.00",Options quote Lines Edit View Quote Print
QT497,30/04/2026,,ALMISBAH MEDICAL CENTRE,Draft,"203,695.00",Options quote Lines Edit View Quote Print
QT496,29/04/2026,,CONSOLATA HOSPITAL,Draft,"7,000.00",Options quote Lines Edit View Quote Print
QT495,29/04/2026,,FAMILY CARE,Draft,"15,650.00",Options quote Lines Edit View Quote Print
QT494,28/04/2026,Leah,MEDEVICE KENYA LTD,Draft,"6,500.00",Options quote Lines Edit View Quote Print
QT492,28/04/2026,Leah,SALAWA CATHOLIC MISSION DISPENSARY,Draft,"2,635,200.00",Options quote Lines Edit View Quote Print
QT491,28/04/2026,,MAMA HELEN HOSPITAL,Draft,"8,610,000.00",Options quote Lines Edit View Quote Print
QT490,27/04/2026,,DEANESH HOSPITAL LTD,Draft,"455,000.00",Options quote Lines Edit View Quote Print
QT489,27/04/2026,,DEANESH HOSPITAL LTD,Draft,"544,500.00",Options quote Lines Edit View Quote Print
QT488,27/04/2026,Geoffrey Nato,TABIB KAHOYA LIMITED,Draft,"1,034,500.00",Options quote Lines Edit View Quote Print
QT487,27/04/2026,Lucy-Thiongo,ST JOSEPH HEALTH CENTRE,Draft,"5,650,000.00",Options quote Lines Edit View Quote Print
QT486,27/04/2026,Vivian Kawira,KINONDOKWETU HOSPITAL,Draft,"380,000.00",Options quote Lines Edit View Quote Print
QT485,25/04/2026,Geoffrey Nato,MUTITO CATHOLIC HEALTH CENTREMUTITO CATHO,Draft,"20,000.00",Options quote Lines Edit View Quote Print
QT484,25/04/2026,Lucy-Thiongo,BROTHER ANDREA,Draft,"1,728,000.00",Options quote Lines Edit View Quote Print
QT483,24/04/2026,,SHIMO LA TEWA BORSTAL,Draft,"180,000.00",Options quote Lines Edit View Quote Print
QT482,24/04/2026,,DEANESH HOSPITAL LTD,Draft,0.00,Options quote Lines Edit View Quote Print
QT481,23/04/2026,,DEANESH HOSPITAL LTD,Draft,0.00,Options quote Lines Edit View Quote Print
QT480,23/04/2026,,PENDOPOINT MEDICARE CENTRE,Draft,0.00,Options quote Lines Edit View Quote Print
QT479,23/04/2026,,OSPRAY HOSPITAL,Draft,"827,400.00",Options quote Lines Edit View Quote Print
QT478,23/04/2026,Geoffrey Nato,RAPHA MAKUENI NURSING HOME,Draft,"750,000.00",Options quote Lines Edit View Quote Print
QT477,23/04/2026,,CAREMAX HEALTH LIMITED,Draft,"15,650.00",Options quote Lines Edit View Quote Print
QT476,23/04/2026,Vivian Kawira,NICEVIEW HOSPITAL,Draft,"350,000.00",Options quote Lines Edit View Quote Print
QT475,22/04/2026,Mercy Jemutai,NANYUKI COTTAGE HOSPITAL,Draft,"350,000.00",Options quote Lines Edit View Quote Print
QT473,21/04/2026,Leah,DLISS FAMILY HOSPITAL,Draft,0.00,Options quote Lines Edit View Quote Print
QT472,21/04/2026,,BARATON JEREMIC COMMUNITY MEDICAL CENTRE,Draft,"85,000.00",Options quote Lines Edit View Quote Print
QT471,21/04/2026,,MAKUENI DOCTORS PLAZA LTD,Draft,"70,950.00",Options quote Lines Edit View Quote Print
QT470,21/04/2026,Office,DEANESH HOSPITAL LTD,Draft,"330,000.00",Options quote Lines Edit View Quote Print
QT469,20/04/2026,,ST. ELIZABETH GEKANO MISSION HOSPITAL,Draft,"4,250.00",Options quote Lines Edit View Quote Print
QT468,20/04/2026,,BARATON JEREMIC COMMUNITY MEDICAL CENTRE,Draft,0.00,Options quote Lines Edit View Quote Print
QT467,20/04/2026,Purity Jepkemei,KIMININI COTTAGE MISSION HOSPITAL,Draft,"680,000.00",Options quote Lines Edit View Quote Print
QT466,20/04/2026,Geoffrey Nato,ORTUM MISSION HOSPITAL,Draft,"430,000.00",Options quote Lines Edit View Quote Print
QT465,20/04/2026,Geoffrey Nato,KATITO MEDICAL CENTRE-MBITA,Draft,"160,000.00",Options quote Lines Edit View Quote Print
QT464,20/04/2026,Lucy Omenya Akinyi,ELIJAH OWINO NGONGA,Draft,"350,000.00",Options quote Lines Edit View Quote Print
QT463,18/04/2026,Ashly,NORTH KINANGOP CATHOLIC HOSPITAL,Draft,"680,000.00",Options quote Lines Edit View Quote Print
QT462,17/04/2026,,TOP CARE NURSING HOME,Draft,"420,000.00",Options quote Lines Edit View Quote Print
QT458,16/04/2026,Geoffrey Nato,LEGACY FHOK LTD,Draft,"4,918,800.00",Options quote Lines Edit View Quote Print
QT457,16/04/2026,Lucy-Thiongo,EMORY HOSPITAL,Draft,"150,000.00",Options quote Lines Edit View Quote Print
QT456,16/04/2026,,PENDOPOINT MEDICARE CENTRE,Draft,"24,000.00",Options quote Lines Edit View Quote Print
QT455,16/04/2026,,LEGACY HOSPITAL,Draft,"3,656,500.00",Options quote Lines Edit View Quote Print
QT453,15/04/2026,Lucy Omenya Akinyi,MEDIFORTE HOSPITAL,Draft,0.00,Options quote Lines Edit View Quote Print
QT452,15/04/2026,,QONTRAC CONSULTANTS LTD,Draft,0.00,Options quote Lines Edit View Quote Print
QT451,14/04/2026,,AAR HOSPITAL,Draft,0.00,Options quote Lines Edit View Quote Print
QT450,14/04/2026,,FAMILY CARE,Draft,"24,450.00",Options quote Lines Edit View Quote Print
QT449,13/04/2026,,KAREN CARDIOCARE,Draft,"4,752,780.00",Options quote Lines Edit View Quote Print
QT447,13/04/2026,,IJARA SUB-COUNTY HOSPITAL,Draft,0.00,Options quote Lines Edit View Quote Print
QT445,10/04/2026,,ST. CLARE MEDICAL CENTRE NAMBALE (KISOKO),Draft,"51,800.00",Options quote Lines Edit View Quote Print
QT444,10/04/2026,,PCEA KIKUYU HOSPITAL,Draft,"1,199,700.00",Options quote Lines Edit View Quote Print
QT443,10/04/2026,,GALMAGALA HEALTH CENTER,Draft,0.00,Options quote Lines Edit View Quote Print
QT442,09/04/2026,,THE MARA SPECIALIST HOSPITAL LIMITED,Draft,"43,500.00",Options quote Lines Edit View Quote Print
QT441,09/04/2026,,CHRISTAMARIANNE MISSION HOSPITAL,Draft,"32,000.00",Options quote Lines Edit View Quote Print
QT440,09/04/2026,,CHAANI CATHOLIC DISPENSARY CBHC,Draft,"175,000.00",Options quote Lines Edit View Quote Print
QT439,09/04/2026,,MOTHER FRANCISCA MISSION MATERNITY HC,Draft,"6,295,500.00",Options quote Lines Edit View Quote Print
QT438,09/04/2026,,ST. ELIZABETH GEKANO MISSION HOSPITAL,Draft,"2,532,200.00",Options quote Lines Edit View Quote Print
QT437,09/04/2026,,MULUTU CATHOLIC DISPENSARY,Draft,"70,000.00",Options quote Lines Edit View Quote Print
QT436,08/04/2026,,DADAAB SUB- COUNTY HOSPITAL,Draft,"1,900.00",Options quote Lines Edit View Quote Print
QT435,07/04/2026,,RADIANT HOSPITAL,Draft,"220,000.00",Options quote Lines Edit View Quote Print
QT434,07/04/2026,,UPLANDS PLANET MEDICAL CENTRE,Draft,"220,000.00",Options quote Lines Edit View Quote Print
QT432,02/04/2026,,ACK DR.PIKE ROPA MEDICAL CENTER,Draft,"122,500.00",Options quote Lines Edit View Quote Print
QT431,02/04/2026,,SHIKHENDU MEDICAL CLINIC,Draft,"25,000.00",Options quote Lines Edit View Quote Print
QT430,02/04/2026,,KHAMULATI MEDICAL CLINIC,Draft,"240,000.00",Options quote Lines Edit View Quote Print
QT429,01/04/2026,,KHAMULATI MEDICAL CLINIC,Draft,0.00,Options quote Lines Edit View Quote Print
QT428,01/04/2026,Lucy Omenya Akinyi,HEALTOPS HEALTHCARE MEDICAL CLINIC,Draft,"9,500.00",Options quote Lines Edit View Quote Print
QT427,01/04/2026,Lucy-Thiongo,BENMAC HOSPITAL,Draft,"15,000.00",Options quote Lines Edit View Quote Print
QT426,01/04/2026,,BENMAC HOSPITAL,Draft,0.00,Options quote Lines Edit View Quote Print
QT425,01/04/2026,,CRESENT MEDICAL CENTER,Draft,"2,710,500.00",Options quote Lines Edit View Quote Print
QT424,31/03/2026,Geoffrey Nato,ST DAMIANO MISSION HOSPITAL,Draft,0.00,Options quote Lines Edit View Quote Print
QT422,31/03/2026,,REHEMA HOSPICE AND CLINIC LTD,Draft,"383,000.00",Options quote Lines Edit View Quote Print
QT421,31/03/2026,Purity Jepkemei,ST.FRANCIS MISSION SUWERWA,Draft,"152,500.00",Options quote Lines Edit View Quote Print
QT420,31/03/2026,,CAMEL MEDICAL CENTRE,Draft,"64,670.00",Options quote Lines Edit View Quote Print
QT419,31/03/2026,,ANDERSEN MEDICAL CENTRE,Draft,"20,000.00",Options quote Lines Edit View Quote Print
QT418,31/03/2026,,MUNGOMA HOSPITAL,Draft,"30,500.00",Options quote Lines Edit View Quote Print
