Machine Name,Client,Contact person,phone number,In charge of machine (name),Role,No,LOCATION,Machine S/No,Installation Date,Last Service Date,Next Service
X-Ray Machine,St Damiano Mission Hospital,Sam,729085449,,,,Bungoma,,10/07/2024,,
X-Ray Machine,Dliss Family Hospital,Joseph,7213230924,Muyeyi Irene,Radiographer,701568666,Busia,CRM0018/OJ24/23/0088,16/04/2025,16/04/2025,16/10/2025
X-Ray Machine,Trinity Mission Hospital,Sis Chepkorir,745200446,,,,Eldoret,502502003,05/04/2024,05/04/2024,05/04/2025
X-Ray Machine,OPTIMAL FAMILY HOSP.perikaryon,vivian,768460250,Perry,Radiographer,784841607,Chuka,ESODR250061,3/05/2026,06/03/2025,06/03/2026
Lamuno Analyzer,Legacy FHOK,Ishmael,706321961,,,,Bomet,,,,
Lamuno Analyzer,Precise Healthcare,Collins,723876387,,,,Nairobi,,,,
Lamuno Analyzer,Bayan Nursing Home,Osman,702033380,,,,Wajir Town,,,,
Lamuno Analyzer,Waamo medical centre,Ahmud,722267364,,,,Nrb,,,,
Lamuno Analyzer,Mutito Catholic Health Care,Sis. Catherine,720799997,,,,Mutito,AE22081320,11/05/2022,05/05/2023,
Lamuno Analyzer,Jordan Hospital Kitui,Catherine,796984572,,,,Kitui,AE22081345,03/07/2023,08/07/2023,
Lamuno Analyzer,Westside hospital,Majune,720729731,,,,Malaba,AE22091518,03/04/2023,09/04/2023,
Lamuno Analyzer,St  Peter Clevers,Sr Christine Mary,713022417,,,,Kiserian,AE22081346,18/5/2023,18/11/2023,
Lamuno Analyzer,Asher Healthcare,Lawi,780193223,,,,Nairobi,,,,
Lamuno Analyzer,Katito Medical Centre,Godfrey,724817266,,,,Katito,,,,
Lamuno Analyzer,Claytons Family Health,,,,,,Kimilili,AE230217666,09/04/2023,,
Lamuno Analyzer,Salama Cancer Centre,Ignicious,725063780,,,,Kisumu,AE23092294,27/01/2024,,
Lamuno Analyzer,Palm Repro Health Associates,David,720070362,,,,Eldoret,AE25092293,29/2/2024,21/11/2024,21/05/2025
Lamuno Analyzer,Gateway Point,Mohammed,741406792,,,,Isiolo,AE24022921,23/07/2024,23/07/2024,23/2/2025
Lamuno Analyzer,Cardinal Otunga,Sis Refnata,705714590,,,,Mangu,AE24022906,22/08/2024,22/08/2024,20/01/2025
Lamuno Analyzer,Tamra Medical Services,Abdi,721503032,,,,Dadaab,AE22081321,14/8/2024,14/8/2024,14/3/2025
Lamuno Analyzer,Maseno Mission Hospital,,,,,,Kisumu,,30/10/2024,30/05/2025,
Lamuno Analyzer,Trinity Mission Hospital,Sis Chepkorir,,,,,,AE24022923,12/09/2024,12/09/2024,07/09/2025
Lamuno Analyzer,Bahari Medical Clinic,Nelly,759835233,,,,Diani,AE24022951,13/12/2024,13/12/2024,13/7/2025
Lamuno Analyzer,Macmillan University Ltd,,,,,,Nairobi,,24/01/2025,24/01/2025,24/07/2025
Lamuno Analyzer,Floder Medical Centre,Florence Kariuki,722338219,,,,Kirinyaga,AE22111679,02/11/2025,02/11/2025,08/11/2025
Lamuno Analyzer,Lifecare Speciality,Omar,729011000,,,,ELDORET,AE24053465,25/7/24,13/01/2025,13/07/2025
Lamuno Analyzer,Lifecare Speciality,,,,,,ELDORET,AE24022907,25/07/2024,25/07/2024,25/02/2025
Lamuno Analyzer,Baraka Hospital,Andrew,713627033,,,,Narok,AE22111675,25/2/2025,30/07/2026,30/01/2027
Lamuno Analyzer,Kagumo Vission Medical Centre,Philis Muriuki,721967797,,,,Kirinyaga,AE22111678,28/02/2025,28/2/2025,28/8/2025
Lamuno Analyzer,Beta Laboratory,Lalya,722223501,,,,Mombasa,AE24053477,03/03/2025,03/03/2025,09/03/2025
Lamuno Analyzer,St Ursulas Dispensary,,,,,,Kitale,AE22111677,03/11/2025,03/11/2025,09/11/2025
Lamuno Analyzer,Harun  Mohammed,,,,,,Nairobi,,,,
Lamuno Analyzer,Wema Medkin Medical Centre,Munene,700612381,,,,Kirinyaga,AE24123865,17/04/2025,17/04/2025,17/04/2026
Lamuno Analyzer,Tridium Pharmacy,Mwende,720128409,,,,Kikima,AE24123868,08/11/2025,08/11/2025,02/11/2026
Lamuno Analyzer,Kelsa Medical Centre,Kibet,724652268,,,,olenguruone,AE241123864,25/03/26,,25/09/2026
Lamuno Analyzer,Sphere Medical Centre,,707475208,,,,Roysambu,XQ012503017058,21/03/2026,,09/02/2026
Lamuno Analyzer,Mission of Mercy Hospital,Yonah,712663416,,,,Bungoma,MY042508005040,21/03/2026,,21/09/2026
Lamuno Analyzer,Shimo la Tewa,Diana,722167093,,,,Shanzu,AE24123858,23/04/2026,,23/10/2026
Lamuno Analyzer,Comfy Healthcare,,,,,,Malaba,A524123866,,,
Lamuno Analyzer,Aroha cancer Centre,,790456974,,,,,Ae24123860,26/05/2026,,26/11/2026
Z5 Hematology Analyzer,West Pokot County -5part,,,Geoffry,Lab Technician,714865798,Kapenguria,Z50221200068,18/3/2023,,
Z5 Hematology Analyzer,Vill Angel Medical Clinic,Jackline,702848154,nicholas,Lab Technician,713019775,Kitale,Z50230400546,13/10/2024,13/10/2024,04/03/2025
Z5 Hematology Analyzer,St Damiano Medical Centre,Caroly,708513406,Sr Adelaide,Lab Technician,719727263,Bungoma,XQ022409002206,17/01/2025,17/01/2025,17/07/2025
Dental X-Ray Machine,Katito Medical Centre,Godfrey,724817266,,,,Mbita,,,,
Dental X-Ray Machine,Kalobeyei Main Medical Centre,Robert Wabwire,70125662,,,,Kakuma,2106095,,,
Dental X-Ray Machine,Arawelo Medical Centre,Kadro,700386657,,,758831440,South C,,,,
